"Text__TextElement-sc-if376j-0","mMx2LUixlnN_Fu45JpFB src","btE2c3IKaOXZ4VNAb8WQ href","Text__TextElement-sc-if376j-0 2","Text__TextElement-sc-if376j-0 3","Text__TextElement-sc-if376j-0 4","Text__TextElement-sc-if376j-0 href","Text__TextElement-sc-if376j-0 5","Text__TextElement-sc-if376j-0 href 2","standalone-ellipsis-one-line","standalone-ellipsis-one-line href","Text__TextElement-sc-if376j-0 6","Text__TextElement-sc-if376j-0 7"
"380","https://i.scdn.co/image/ab67616d00004851407158b8d25a4c2cc376a6d1","https://open.spotify.com/track/4M40wjBf4NRgj7BMWDCIr5","Bring You Back",",","Gold Brother","https://open.spotify.com/artist/6O7D1lQ7wlhy0s7QYh620s","LIIV","https://open.spotify.com/artist/1cxTaAQFOAPNMmcKn4YRPj","Bring You Back","https://open.spotify.com/album/6TWMvXsz7jFTG3RlVxwpmA","May 29, 2022","3:26"
"381","https://i.scdn.co/image/ab67616d00004851b8930c6ded15853219d6f3cf","https://open.spotify.com/track/4cZ3UsiKd1kUQIaq4BFIj2","No One Compares To You","","Jack & Jack","https://open.spotify.com/artist/1INuLZXjjVbcJRyWvD1iSq","","","A Good Friend Is Nice","https://open.spotify.com/album/0mjAkDF5xXelx7EOUthdRk","Jun 1, 2022","3:02"
"382","https://i.scdn.co/image/ab67616d00004851fa1f47734127036f68558256","https://open.spotify.com/track/2UN0lp72LAusrXi8LLVomt","2step (feat. Lil Baby)",",","Ed Sheeran","https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V","Lil Baby","https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK","2step (feat. Lil Baby)","https://open.spotify.com/album/6NPPPC6DxPvukxZcYVOBif","Jun 1, 2022","2:43"
"383","https://i.scdn.co/image/ab67616d00004851efb48d33e1aa6e79dc88837f","https://open.spotify.com/track/1qRDrHtcdLAKiryk0jPtmY","Out of My Hands","","shy martin","https://open.spotify.com/artist/7eCmccnRwPmRnWPw61x6jM","","","Out of My Hands","https://open.spotify.com/album/1MsZ5zY3wBWvB6el4T8Ikh","Jun 1, 2022","3:23"
"384","https://i.scdn.co/image/ab67616d000048512b0f1fde3e7443be8eb14e4d","https://open.spotify.com/track/11lFSEnkj3810ojPLj53RO","Love To Lose",",","Sandro Cavazza","https://open.spotify.com/artist/5JYo7gm2dkyLLlWHjxS7Dy","Georgia Ku","https://open.spotify.com/artist/5mYakBbBzPMQTfkVMIgiDM","Love To Lose","https://open.spotify.com/album/1K5uj6UM29p2LCqUm0kv1Q","Jun 18, 2022","2:57"
"385","https://i.scdn.co/image/ab67616d000048510e6b6868e920743f7f4061c4","https://open.spotify.com/track/1ei3hzQmrgealgRKFxIcWn","In The Stars","","Benson Boone","https://open.spotify.com/artist/22wbnEMDvgVIAGdFeek6ET","","","In The Stars","https://open.spotify.com/album/6dSmXsyGAnFtq048IFhiYd","Jun 20, 2022","3:36"
"386","https://i.scdn.co/image/ab67616d0000485173c6313cee066564e39e2c9f","https://open.spotify.com/track/530TAWLytdeGGAhg7y0JB5","Make Him Wait","","Abby Anderson","https://open.spotify.com/artist/0WicR9iYAPd0Bi7i3bz9MB","","","Make Him Wait","https://open.spotify.com/album/6Pzi5QThPsVCSUDL2CRgc1","Jul 3, 2022","3:23"
"387","https://i.scdn.co/image/ab67616d0000485192255da0cb6e5940b2fdfb68","https://open.spotify.com/track/4SHtOt9C7d4QbWHW2Z7uPf","Without Him","","Christina Grimmie","https://open.spotify.com/artist/0Cav8jyZKAHMFbAusOmjku","","","Side A","https://open.spotify.com/album/2ffiyPOmpF4r99ZV9ko8sM","Jul 11, 2022","3:55"
"388","https://i.scdn.co/image/ab67616d000048518863bc11d2aa12b54f5aeb36","https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b","Blinding Lights","","The Weeknd","https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ","","","After Hours","https://open.spotify.com/album/4yP0hdKOZPNshxUOjY0cZj","Jul 25, 2022","3:20"
"389","https://i.scdn.co/image/ab67616d000048519e73ff641e43efa7dd9b4582","https://open.spotify.com/track/7nO8gHNntmUrkQDRvaljWd","Feel It Still","","Sofia Carson","https://open.spotify.com/artist/7bp2lSdh12wcA8LyB1srfJ","","","Purple Hearts (Original Soundtrack)","https://open.spotify.com/album/3wDjzYFS8eWE3bLSpXK4gd","Aug 3, 2022","2:24"
"390","https://i.scdn.co/image/ab67616d000048511e1af849abfd0d3c31ffdd7c","https://open.spotify.com/track/6OH9KoWhF2KSNwSI1ixmD2","summertime sadness - sped up + reverb",", ,","pearl","https://open.spotify.com/artist/0oUvRAt9hv96E6akDwgWCI","fast forward >>","https://open.spotify.com/artist/54pWRW9zJ4FRTQLBiEOJ7T","summertime sadness - sped up + reverb","https://open.spotify.com/album/4mtCUjV49CQnG8KFhB5LuW","Aug 3, 2022","3:38"
"391","https://i.scdn.co/image/ab67616d000048519e73ff641e43efa7dd9b4582","https://open.spotify.com/track/1I4dwH7C0jBAEtz5DjlJgQ","Come Back Home","","Sofia Carson","https://open.spotify.com/artist/7bp2lSdh12wcA8LyB1srfJ","","","Purple Hearts (Original Soundtrack)","https://open.spotify.com/album/3wDjzYFS8eWE3bLSpXK4gd","Aug 3, 2022","2:56"
"392","https://i.scdn.co/image/ab67616d000048510d1f3930676c34a23dbf5c46","https://open.spotify.com/track/3xgT3xIlFGqZjYW9QlhJWp","Dancing With A Stranger (with Normani)",",","Sam Smith","https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI","Normani","https://open.spotify.com/artist/2cWZOOzeOm4WmBJRnD5R7I","Love Goes","https://open.spotify.com/album/5XCBX16KNYsAe7V5hQV9mC","Aug 7, 2022","2:51"
"393","https://i.scdn.co/image/ab67616d00004851f55a3b9b8248af4b34d5e1c8","https://open.spotify.com/track/7iLJ6qZNOtMQLVmOjG9zzR","Chasing Our Future - Radio Edit","","Alvar & Millas","https://open.spotify.com/artist/7Bm7VtCioRLuoEdKAqAmRx","","","Chasing Our Future","https://open.spotify.com/album/7ueqxlycigGwE2tPkoSh2i","Aug 19, 2022","2:40"
"394","https://i.scdn.co/image/ab67616d0000485102f84424babd5f61c3cd1024","https://open.spotify.com/track/2aKeFpk9jaBdQeXuqqIZpm","Sick enough to die (Feat. JAMIE)",",","MC MONG","https://open.spotify.com/artist/6gEWl778wJTkq4Uk5eBvgD","Jamie","https://open.spotify.com/artist/7pKlS8U7Bi4QEYmPEazFyN","20th Anniversary Edition ‘Dark Hole’","https://open.spotify.com/album/5NybffqVfTXwACqsc1GUT7","Oct 1, 2022","4:30"
"395","https://i.scdn.co/image/ab67616d000048515e90ff76fd49a23f7333de76","https://open.spotify.com/track/2fVHrSxsQbJUuj9MW9zG1e","Who Do You Love",",","The Chainsmokers","https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp","5 Seconds of Summer","https://open.spotify.com/artist/5Rl15oVamLq7FbSb0NNBNy","World War Joy","https://open.spotify.com/album/01GR4NL5O5CZM51k0aejKD","Oct 3, 2022","3:46"
"396","https://i.scdn.co/image/ab67616d000048510da40396d926ddcd2c9c7283","https://open.spotify.com/track/6jjthaSazWJUHKzNkkEDkQ","Might Not Like Me","","Brynn Elliott","https://open.spotify.com/artist/43AN9FNovCCWxPX4talyzz","","","Might Not Like Me","https://open.spotify.com/album/4GBmojDd3z2QmIe75RXC4l","Oct 8, 2022","3:16"
"397","https://i.scdn.co/image/ab67616d000048512c6d6d03e725a9dd5bb0f7e1","https://open.spotify.com/track/3winLmfqXr1oUbC3oNOvmq","Fireflies","","Binky","https://open.spotify.com/artist/2Ksqdbegm2Yl3bhopo9MsZ","","","Fireflies","https://open.spotify.com/album/2REenYcoBzEROdccRQ6q31","Oct 8, 2022","3:23"
"398","https://i.scdn.co/image/ab67616d0000485135f4ee14fdc440b71b4e8abf","https://open.spotify.com/track/58iCq0hR2Emv6DZNxj7mGa","June","","Sage Charmaine","https://open.spotify.com/artist/7Gm2KFPebqb5rGV3XrLqGn","","","don't leave me","https://open.spotify.com/album/4LQhBafXLFVZbP5sTQVdgB","Oct 8, 2022","3:03"
"399","https://i.scdn.co/image/ab67616d000048514ae61726c899b08a5e81f528","https://open.spotify.com/track/2ChOMSamIbDfZ4lA9yAiRA","Outerspace",",","BEAUZ","https://open.spotify.com/artist/2Wzb0u138rgoZQTK3ytknT","Dallas","https://open.spotify.com/artist/4G7Ft324bPwyWC2v35sns8","Outerspace","https://open.spotify.com/album/7bsOI4rnJwXDog3k81sfmQ","Oct 9, 2022","2:54"
"400","https://i.scdn.co/image/ab67616d0000485128f29ad9c2f1e233fc0f03ea","https://open.spotify.com/track/5vBVbnDaUTNGK9eLuLlKXd","Be What You Wanna Be","","Darin","https://open.spotify.com/artist/1rKFeRryEci6cxNkdvHzNr","","","Darin","https://open.spotify.com/album/6DDi3c38LPurNloTG3YnQR","Oct 16, 2022","3:30"
"401","https://i.scdn.co/image/ab67616d0000485112f81e687a629815c3b7c0e8","https://open.spotify.com/track/4t4Uc6yNnnzBhatmarfV4Y","Please Don't Let Me Go","","Olly Murs","https://open.spotify.com/artist/3whuHq0yGx60atvA2RCVRW","","","Olly Murs","https://open.spotify.com/album/17gXGgVOk1RpPduIpeD5Yq","Mar 7, 2023","3:24"
"402","https://i.scdn.co/image/ab67616d000048516ccdb9bf5eda98cd1c7ac2d3","https://open.spotify.com/track/1BSAmxkrz2H8v5kpTfAT6v","like that","","Bea Miller","https://open.spotify.com/artist/1o2NpYGqHiCq7FoiYdyd1x","","","chapter two: red","https://open.spotify.com/album/2Sgdv3E54pq1nzvBRH1iru","Mar 8, 2023","3:05"
"403","https://i.scdn.co/image/ab67616d000048511391b1fdb63da53e5b112224","https://open.spotify.com/track/76OGwb5RA9h4FxQPT33ekc","SNAP","","Rosa Linn","https://open.spotify.com/artist/46xBNx0j6cwY6sD9LgMTm1","","","SNAP","https://open.spotify.com/album/4fb1QzgTJpTk9TBjFzjmlR","Mar 22, 2023","2:59"
"404","https://i.scdn.co/image/ab67616d00004851f4ee95f7eea7f5d72a57aa45","https://open.spotify.com/track/5a0sI8V5iDBiChTCfFNZL1","Dynasty","","MIIA","https://open.spotify.com/artist/0h3YCmvRJ2jqt4jFiR6nGL","","","Dynasty","https://open.spotify.com/album/2QSPuyEM4LRQ4fREX5cW3d","Apr 15, 2023","3:45"
"405","https://i.scdn.co/image/ab67616d00004851bd3ea900a9dfec7e28f0e793","https://open.spotify.com/track/0vH52Icuf6LzOFrkHE8mZG","Minefields",",","Faouzia","https://open.spotify.com/artist/5NhgsV7qPWHZqYEMKzbYvo","John Legend","https://open.spotify.com/artist/5y2Xq6xcjJb2jVM54GHK3t","CITIZENS","https://open.spotify.com/album/3nh4uK04eRkHyrxIDWEfkp","Apr 15, 2023","3:10"
"1","https://i.scdn.co/image/ab67616d00004851e6095c382c2853667c1623eb","https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik","Señorita",",","Shawn Mendes","https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr","Camila Cabello","https://open.spotify.com/artist/4nDoRrQiYLoBzwC5BhVJzF","Señorita","https://open.spotify.com/album/2ZaX1FdZCwchXl1QZiD4O4","Sep 2, 2020","3:10"
"2","https://i.scdn.co/image/ab67616d0000485141aa6776dc15fbd71a2b4557","https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE","Youngblood","","5 Seconds of Summer","https://open.spotify.com/artist/5Rl15oVamLq7FbSb0NNBNy","","","Youngblood (Deluxe)","https://open.spotify.com/album/2D0Hi3Jj6RFnpWDcSa0Otu","Sep 2, 2020","3:23"
"3","https://i.scdn.co/image/ab67616d000048511bf8096876ca5223e4e96eac","https://open.spotify.com/track/77sER2t5oWKKHWgAoiJGoz","Back Around","","Olly Murs","https://open.spotify.com/artist/3whuHq0yGx60atvA2RCVRW","","","24 HRS (Expanded Edition)","https://open.spotify.com/album/3EeOsvEKHv6dyG2x2XZJ6Q","Sep 2, 2020","2:54"
"4","https://i.scdn.co/image/ab67616d000048511bf8096876ca5223e4e96eac","https://open.spotify.com/track/6n2QOmyioHfAqwwAh5xZHK","That Girl","","Olly Murs","https://open.spotify.com/artist/3whuHq0yGx60atvA2RCVRW","","","24 HRS (Expanded Edition)","https://open.spotify.com/album/3EeOsvEKHv6dyG2x2XZJ6Q","Sep 2, 2020","2:56"
"5","https://i.scdn.co/image/ab67616d00004851755cb1c437d69a747cf9e651","https://open.spotify.com/track/0dbp9YwlGEzXmxavRMgZ4T","LA On A Saturday Night","","Hearts & Colors","https://open.spotify.com/artist/3wjsrpfO6odEphTZWx45RQ","","","LA On A Saturday Night","https://open.spotify.com/album/1f2rFcEFmcze28kd4deeS4","Sep 2, 2020","3:15"
"6","https://i.scdn.co/image/ab67616d000048515b62ec875f4ada5b24dc2ad0","https://open.spotify.com/track/5BuiZmp7H6hoUN5Fw2lUIp","Nothing Stopping Me (feat. Kat Nestel)",",","Vicetone","https://open.spotify.com/artist/0daugAjUgbJSqdlyYNwIbT","Kat Nestel","https://open.spotify.com/artist/2S5DXnDpQlpDXFUcvqAb4E","Nothing Stopping Me (feat. Kat Nestel)","https://open.spotify.com/album/3i7sj6iRhC2yQOITkRP2cU","Sep 2, 2020","3:43"
"7","https://i.scdn.co/image/ab67616d000048519df54b112dfa5da467239db0","https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND","Fire On Fire - From ""Watership Down""","","Sam Smith","https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI","","","Fire On Fire (From ""Watership Down"")","https://open.spotify.com/album/5utJfkRQ5yEIat3AIK6WIL","Sep 2, 2020","4:06"
"8","https://i.scdn.co/image/ab67616d00004851bd6c207be091d0b107405b93","https://open.spotify.com/track/2ia7iiEtpiOL2ZVuWxBZGB","I Will Never Let You Down","","Rita Ora","https://open.spotify.com/artist/5CCwRZC6euC8Odo6y9X8jr","","","I Will Never Let You Down","https://open.spotify.com/album/415fhs8Ft2VMFY0rWLK4BD","Sep 2, 2020","3:23"
"9","https://i.scdn.co/image/ab67616d00004851556764d2c69ab668bc3ff41e","https://open.spotify.com/track/24SiezD9HqrJ63j9ZuLAjk","Your Song - Acoustic","","Rita Ora","https://open.spotify.com/artist/5CCwRZC6euC8Odo6y9X8jr","","","Your Song (Acoustic)","https://open.spotify.com/album/0ybxSGMIBzQFaicUnBdVE4","Sep 2, 2020","3:01"
"10","https://i.scdn.co/image/ab67616d0000485125c73acf4e8ce0f4ead66ca4","https://open.spotify.com/track/3F9fWELu0JR1j8UltH9ov9","Hell of A Life","","Rita Ora","https://open.spotify.com/artist/5CCwRZC6euC8Odo6y9X8jr","","","Phoenix (Deluxe)","https://open.spotify.com/album/3hvk0iS7XgtSQdf7zfVTLF","Sep 2, 2020","3:55"
"11","https://i.scdn.co/image/ab67616d00004851c6ad2b2b62b581a23a7c1759","https://open.spotify.com/track/3lyLqIn8mybyEFTs8JJaLf","Home","","Michael Bublé","https://open.spotify.com/artist/1GxkXlMwML1oSg5eLPiAz3","","","It's Time","https://open.spotify.com/album/1f9vWKabhNPNQnHLleExSh","Sep 2, 2020","3:45"
"12","https://i.scdn.co/image/ab67616d000048516bc7473df6c9d1fd90972e84","https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly","Same Old Love","","Selena Gomez","https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx","","","Revival (Deluxe)","https://open.spotify.com/album/3Kbuu2tHsIbplFUkB7a5oE","Sep 2, 2020","3:49"
"13","https://i.scdn.co/image/ab67616d00004851d040bc5b46915b49a64d7b1d","https://open.spotify.com/track/1JDIArrcepzWDTAWXdGYmP","I Want You To Know",",","Zedd","https://open.spotify.com/artist/2qxJFvFYMEDqd7ui6kSAcq","Selena Gomez","https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx","True Colors","https://open.spotify.com/album/4jKdXIJckKh7la6xHuKwRT","Sep 2, 2020","4:00"
"14","https://i.scdn.co/image/ab67616d00004851f6aca65621e1665d7da316ff","https://open.spotify.com/track/6E37j4b44JGpdk297urpKM","like that","","Bea Miller","https://open.spotify.com/artist/1o2NpYGqHiCq7FoiYdyd1x","","","aurora","https://open.spotify.com/album/2rQu10gUgBVYzgsitDZNyU","Sep 6, 2020","3:05"
"15","https://i.scdn.co/image/ab67616d0000485110df511ff6a8b983ac0e6249","https://open.spotify.com/track/0aLJRIFLFZ0Tjr8XZb2uMX","Couple of Kids","","Maggie Lindemann","https://open.spotify.com/artist/0uGk2czvcpWQA383Im6ajf","","","Couple of Kids","https://open.spotify.com/album/79CHmQRztLftjKe5terNyv","Sep 6, 2020","3:42"
"16","https://i.scdn.co/image/ab67616d00004851fbccf5b6db6273230033fd03","https://open.spotify.com/track/077IVIW6uv1lL78x7a3Oc3","How Far I'll Go - From ""Vaiana""","","Alessia Cara","https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR","","","How Far I'll Go (From ""Vaiana"")","https://open.spotify.com/album/5w5P7lTPAQAbgJX73on3gx","Sep 6, 2020","2:55"
"17","https://i.scdn.co/image/ab67616d000048511376b4b16f4bfcba02dc571b","https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd","Treat You Better","","Shawn Mendes","https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr","","","Illuminate","https://open.spotify.com/album/1ne2D0NxoGyZd31gAM4HNd","Sep 6, 2020","3:07"
"18","https://i.scdn.co/image/ab67616d000048514fe297c018e495a97662e5ac","https://open.spotify.com/track/7soJgKhQTO8hLP2JPRkL5O","One Call Away","","Charlie Puth","https://open.spotify.com/artist/6VuMaDnrHyPL1p4EHjYLi7","","","Nine Track Mind","https://open.spotify.com/album/3kndSWeE2IYOrZEToZrHEV","Sep 6, 2020","3:14"
"19","https://i.scdn.co/image/ab67616d00004851a4fe49eb27e8152710e7a590","https://open.spotify.com/track/4esOae7i4rqTbAu9o5Pxco","Girl on Fire","","Alicia Keys","https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa","","","Girl on Fire (Remixes) - EP","https://open.spotify.com/album/3zZSz5VOYSu0jE4MkPCOvN","Sep 6, 2020","3:44"
"20","https://i.scdn.co/image/ab67616d00004851528e7f2b6eda1b2a20ccfb1f","https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5","Your Song","","Rita Ora","https://open.spotify.com/artist/5CCwRZC6euC8Odo6y9X8jr","","","Your Song","https://open.spotify.com/album/6lrm01OVZZVmarH2XLSAXZ","Sep 6, 2020","3:00"
"21","https://i.scdn.co/image/ab67616d0000485113480e8127119dcb882eb53d","https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm","Be Alright","","Dean Lewis","https://open.spotify.com/artist/3QSQFmccmX81fWCUSPTS7y","","","Be Alright","https://open.spotify.com/album/0YZLXTaHLcgl5UdtKDiUXD","Sep 6, 2020","3:16"
"22","https://i.scdn.co/image/ab67616d0000485171c36bc500a57adc765f4974","https://open.spotify.com/track/02GjIfCpwttPAikjm5Hwcb","Good Time",",","Owl City","https://open.spotify.com/artist/07QEuhtrNmmZ0zEcqE9SF6","Carly Rae Jepsen","https://open.spotify.com/artist/6sFIWsNpZYqfjUpaCgueju","Good Time","https://open.spotify.com/album/6eTUdRcRan6CLK6s3g5YlH","Sep 6, 2020","3:26"
"23","https://i.scdn.co/image/ab67616d0000485176b9612c0f0db586d4d86e42","https://open.spotify.com/track/2xkcm3VCPQOlHJe5ElvXFC","Let Me Go",",","Loving Caliber","https://open.spotify.com/artist/6psCCMHymYfQy6VvYRr6cs","Frida Danielsson","https://open.spotify.com/artist/2f5BShmpVAieV9riHnh4PZ","Chemicals","https://open.spotify.com/album/0R697YibEKepiDrSouVxqK","Jan 21, 2022","3:12"
"24","https://i.scdn.co/image/ab67616d00004851a887485b3a2e77f3c178f27b","https://open.spotify.com/track/0WeCJh7UNwcHGXWzwcprCn","How Long Will I Love You - Bonus Track","","Ellie Goulding","https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ","","","Halcyon Days","https://open.spotify.com/album/7DJgfpwm8MT0Kd3yqjb6eg","Sep 6, 2020","2:34"
"25","https://i.scdn.co/image/ab67616d0000485175bd5306fb4669a15ee74eff","https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76","Stitches","","Shawn Mendes","https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr","","","Handwritten","https://open.spotify.com/album/0CnQ0JQajNswRjPkNYVG8m","Sep 6, 2020","3:26"
"26","https://i.scdn.co/image/ab67616d000048513a22ad98e76e2d0c1760345d","https://open.spotify.com/track/3cNjgVBKTJ1SvKhunrCdVy","Please Don't Go","","Joel Adams","https://open.spotify.com/artist/36jaGQtMj5UWD0eO1fCVdD","","","Please Don't Go","https://open.spotify.com/album/2SF8Wbc61u8hlQkZYGVCnx","Sep 6, 2020","3:30"
"27","https://i.scdn.co/image/ab67616d00004851949cb4d6ff8b7f7f4fdb24e5","https://open.spotify.com/track/4KnnWpUyPfQD6X5SQSTlH3","Turn Back Time","","Daniel Schulz","https://open.spotify.com/artist/3pVuaUisHmRfVy53qWwmql","","","Turn Back Time","https://open.spotify.com/album/1NuCGiddS5MLz3XU2QViaK","Oct 3, 2021","3:43"
"28","https://i.scdn.co/image/ab67616d000048514f22365402a62c4f6e1adb44","https://open.spotify.com/track/5U8hKxSaDXB8cVeLFQjvwx","The Monster",",","Eminem","https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR","Rihanna","https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H","The Marshall Mathers LP2 (Deluxe)","https://open.spotify.com/album/3qGeRY1wt4rrLIt1YuSwHR","Sep 7, 2020","4:10"
"29","https://i.scdn.co/image/ab67616d00004851a7a062b686a999b1bc5d980b","https://open.spotify.com/track/4KcVVhAaHxqtX2ANt4b3tc","Lean On",", ,","Major Lazer","https://open.spotify.com/artist/738wLrAtLtCtFOLvQBXOXp","MØ","https://open.spotify.com/artist/0bdfiayQAKewqEvaU6rXCv","Lean On","https://open.spotify.com/album/56k0jdcAe2CBpCOsD1HE0A","Sep 7, 2020","2:56"
"30","https://i.scdn.co/image/ab67616d00004851b3994c94dfb241923664bb4d","https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS","Sweet Dreams (Are Made of This) - Remastered",", ,","Eurythmics","https://open.spotify.com/artist/0NKDgy9j66h3DLnN8qu1bB","Annie Lennox","https://open.spotify.com/artist/5MspMQqdVbdwP6ax3GXqum","Sweet Dreams (Are Made Of This)","https://open.spotify.com/album/5jNDWA19BJbE24x1UUJGRY","Sep 7, 2020","3:36"
"31","https://i.scdn.co/image/ab67616d000048514718e2b124f79258be7bc452","https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB","Starboy",",","The Weeknd","https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ","Daft Punk","https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi","Starboy","https://open.spotify.com/album/2ODvWsOgouMbaA5xf0RkJe","Sep 7, 2020","3:50"
